,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
109,BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,4.35,3.41,0.44,33.17,12.01,0.13,42.76,3.21,0.15,0.38,240,188,24,1829,662,7,2358,177,8,21,82.15,7346,6035,8.38,0.0,0.25,506.0,0.0,15.0,BUENOS AIRES
110,BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.98,8.95,1.45,41.39,23.51,0.47,10.09,4.59,0.19,0.39,1720,1716,277,7932,4505,90,1934,879,37,74,80.97,25088,20315,5.45,0.01,0.21,1107.0,2.0,42.0,BUENOS AIRES
111,BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.46,8.34,1.07,51.66,10.95,0.32,16.55,1.85,0.24,0.56,1108,1092,140,6763,1434,42,2167,242,31,73,85.03,16625,14137,7.04,0.07,0.28,995.0,10.0,40.0,BUENOS AIRES
112,BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.11,10.26,1.28,44.19,16.19,0.31,17.47,2.52,0.28,0.4,993,1434,179,6175,2262,43,2442,352,39,56,84.12,17671,14864,5.15,0.11,0.72,765.0,17.0,107.0,BUENOS AIRES
113,BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.67,4.65,0.4,36.76,22.61,0.06,26.12,2.43,0.12,0.19,346,241,21,1907,1173,3,1355,126,6,10,81.13,6805,5521,5.85,0.05,0.13,323.0,3.0,7.0,BUENOS AIRES
117,BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.11,19.18,1.36,53.97,7.1,0.6,7.9,3.31,0.2,0.26,5079,15944,1133,44875,5903,497,6570,2755,170,220,81.17,111652,90623,7.48,0.03,0.74,6781.0,28.0,668.0,BUENOS AIRES
118,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.96,11.84,1.44,45.2,12.09,0.55,16.3,3.03,0.24,0.34,2892,3823,464,14596,3905,178,5263,979,79,110,79.1,43885,34714,6.15,0.07,0.77,2136.0,23.0,266.0,BUENOS AIRES
120,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.24,5.93,0.67,52.36,16.02,0.53,14.94,1.96,0.15,0.2,476,390,44,3444,1054,35,983,129,10,13,85.0,8311,7064,6.8,0.03,0.06,480.0,2.0,4.0,BUENOS AIRES
121,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.95,8.72,2.24,44.21,15.51,0.88,18.26,3.71,0.21,0.31,4064,5959,1528,30201,10598,600,12474,2534,145,215,78.05,94058,73409,5.85,0.05,1.04,4291.0,39.0,761.0,BUENOS AIRES
122,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.0,5.18,0.53,50.26,19.05,0.05,22.54,1.79,0.1,0.5,0,312,32,3028,1148,3,1358,108,6,30,85.22,7542,6427,6.16,0.03,0.06,396.0,2.0,4.0,BUENOS AIRES
124,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,1.42,1.57,0.22,55.63,10.44,0.0,29.08,1.12,0.37,0.15,19,21,3,746,140,0,390,15,5,2,86.53,1700,1471,8.43,0.0,0.41,124.0,0.0,6.0,BUENOS AIRES
125,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.76,6.35,1.92,36.52,13.04,0.53,19.15,13.09,0.28,0.37,683,495,150,2849,1017,41,1494,1021,22,29,79.51,10549,8387,5.85,0.08,1.05,491.0,7.0,88.0,BUENOS AIRES
126,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.52,6.37,0.69,44.08,14.72,0.94,24.59,2.64,0.19,0.27,1386,1598,172,11063,3694,235,6173,662,48,68,79.94,34188,27330,7.38,0.06,0.73,2016.0,16.0,199.0,BUENOS AIRES
127,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.23,7.5,1.26,52.36,13.57,0.41,13.33,4.82,0.19,0.33,2011,2420,408,16890,4376,132,4299,1554,62,107,77.02,47920,36910,12.06,0.03,0.51,4452.0,11.0,188.0,BUENOS AIRES
129,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.89,2.85,1.36,45.41,23.65,0.38,19.92,1.9,0.11,0.52,172,126,60,2008,1046,17,881,84,5,23,86.45,6089,5264,15.71,0.11,0.17,827.0,6.0,9.0,BUENOS AIRES
130,BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.27,7.02,1.75,45.73,19.27,0.7,15.7,8.82,0.25,0.49,56,1456,362,9480,3995,145,3254,1829,52,102,79.62,28739,22882,8.5,0.02,0.89,1944.0,4.0,203.0,BUENOS AIRES
132,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.58,6.71,1.29,48.37,11.04,1.06,22.23,2.24,0.13,0.36,1160,1182,228,8525,1946,187,3918,394,23,63,77.87,24100,18766,4.96,0.08,1.03,931.0,15.0,194.0,BUENOS AIRES
133,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.83,5.43,1.65,44.28,14.03,0.5,22.18,4.01,0.43,0.66,977,777,236,6337,2008,72,3174,574,61,95,81.49,21158,17241,15.53,0.02,1.44,2677.0,4.0,249.0,BUENOS AIRES
206,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.21,10.63,2.14,35.05,12.09,0.54,17.47,2.54,0.15,0.19,5530,3058,616,10086,3480,154,5028,730,42,56,77.3,39943,30877,2.17,3.3,1.33,669.0,1018.0,410.0,CORDOBA
207,CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.72,19.68,6.06,31.12,10.09,0.94,16.19,3.57,0.25,0.38,81012,136058,41882,215150,69732,6475,111925,24688,1751,2661,73.89,990289,731731,2.26,1.58,1.68,16537.0,11588.0,12272.0,CORDOBA
208,CORDOBA_COLON,"Colon, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.34,17.22,4.26,34.58,10.18,0.78,15.03,3.06,0.18,0.38,16391,19692,4872,39537,11639,890,17188,3498,203,431,73.35,164492,120657,2.47,1.3,1.46,2986.0,1565.0,1765.0,CORDOBA
209,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,8.43,5.8,1.4,55.8,7.02,0.35,19.42,1.48,0.17,0.12,2133,1468,354,14111,1776,89,4910,375,42,31,64.53,40243,25968,1.84,0.03,0.75,478.0,7.0,194.0,CORDOBA
210,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,23.46,4.96,0.72,30.97,15.24,0.24,22.33,1.87,0.1,0.11,4377,925,135,5777,2843,44,4166,349,19,21,74.54,26290,19597,1.77,2.45,0.58,346.0,481.0,114.0,CORDOBA
211,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,10.93,10.74,1.93,42.54,11.82,0.78,17.89,2.83,0.2,0.33,7960,7824,1407,30984,8606,571,13027,2060,145,243,76.92,97958,75349,1.83,0.39,1.13,1377.0,293.0,852.0,CORDOBA
212,CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,12.75,8.9,1.41,51.4,5.43,0.71,17.25,1.77,0.21,0.17,2026,1414,224,8164,862,113,2740,281,33,27,67.83,24335,16506,2.38,0.15,1.24,393.0,25.0,204.0,CORDOBA
213,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.11,8.2,1.6,33.21,13.47,0.66,20.46,2.86,0.25,0.18,6614,2838,555,11495,4661,227,7083,991,88,62,77.5,46085,35717,1.96,0.03,1.1,699.0,12.0,392.0,CORDOBA
214,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.9,12.45,1.24,31.14,21.4,0.35,15.33,2.89,0.19,0.11,9275,7753,775,19389,13322,218,9542,1798,121,69,78.63,82061,64527,1.7,1.19,0.61,1100.0,770.0,395.0,CORDOBA
215,CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,9.0,5.16,0.61,65.88,2.99,0.2,15.1,0.74,0.2,0.12,220,126,15,1610,73,5,369,18,5,3,59.59,4251,2533,2.45,0.04,1.03,62.0,1.0,26.0,CORDOBA
216,CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,7.43,5.13,0.7,64.07,6.0,0.08,15.69,0.62,0.16,0.12,181,125,17,1560,146,2,382,15,4,3,59.57,4197,2500,2.16,0.0,0.44,54.0,0.0,11.0,CORDOBA
217,CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.27,16.02,3.61,31.97,11.34,0.91,17.83,3.57,0.21,0.27,12921,14509,3273,28954,10272,826,16145,3231,191,244,71.12,135804,96580,3.76,0.79,1.68,3632.0,761.0,1621.0,CORDOBA
218,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,24.13,8.34,1.59,30.8,14.03,0.6,17.44,2.7,0.19,0.17,33023,11417,2175,42154,19204,823,23873,3697,256,231,74.71,192138,143555,1.95,1.3,1.42,2801.0,1867.0,2034.0,CORDOBA
219,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,7.78,7.53,1.5,37.07,12.71,0.34,31.23,1.42,0.1,0.31,1952,1890,377,9305,3191,85,7838,357,26,77,75.86,34583,26234,2.64,0.95,0.74,693.0,249.0,194.0,CORDOBA
220,CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,6.25,4.43,0.93,56.64,9.07,0.11,21.45,0.99,0.03,0.09,409,290,61,3705,593,7,1403,65,2,6,62.4,10936,6824,3.3,0.09,0.76,225.0,6.0,52.0,CORDOBA
221,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.22,10.1,2.32,35.56,14.23,0.49,23.33,2.31,0.21,0.24,6717,6047,1392,21294,8521,296,13971,1383,124,141,80.19,79077,63415,2.13,2.4,1.03,1352.0,1522.0,655.0,CORDOBA
222,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.12,6.59,1.94,30.45,16.67,0.38,22.01,2.49,0.16,0.19,3878,1336,394,6176,3381,77,4463,505,33,38,74.7,28242,21097,2.76,0.02,1.09,582.0,4.0,230.0,CORDOBA
223,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.89,5.97,1.96,48.36,5.56,0.36,20.09,1.47,0.21,0.13,3089,1160,380,9398,1081,69,3905,285,41,26,72.56,27616,20037,2.07,0.02,0.91,415.0,5.0,183.0,CORDOBA
224,CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,13.9,6.18,1.63,56.48,5.72,0.42,13.74,1.73,0.11,0.09,3751,1667,441,15242,1544,112,3707,468,30,24,73.48,38378,28200,1.59,1.88,0.83,449.0,530.0,235.0,CORDOBA
225,CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.22,14.34,1.53,34.08,15.93,0.45,19.64,2.39,0.22,0.2,13251,16934,1811,40250,18813,535,23193,2828,254,242,76.49,161216,123308,1.79,1.25,1.18,2203.0,1544.0,1450.0,CORDOBA
226,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.85,13.68,3.73,34.95,10.09,0.76,17.76,2.64,0.23,0.31,8025,6928,1888,17694,5110,387,8990,1335,118,157,75.34,70401,53042,2.89,0.16,1.5,1531.0,86.0,793.0,CORDOBA
227,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,2.78,4.25,0.42,54.65,3.24,0.25,33.66,0.63,0.13,0.0,66,101,10,1299,77,6,800,15,3,0,76.03,3680,2798,3.04,11.29,0.71,85.0,316.0,20.0,CORDOBA
228,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.97,12.43,2.52,32.14,14.08,0.66,19.19,2.62,0.21,0.17,10577,8231,1669,21278,9324,434,12708,1736,141,113,78.04,89385,69755,2.46,1.55,1.08,1713.0,1080.0,751.0,CORDOBA
229,CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,10.92,6.98,1.05,42.08,13.46,0.16,22.81,2.14,0.28,0.13,1053,673,101,4057,1298,15,2199,206,27,13,74.66,13699,10227,2.07,2.79,0.86,212.0,285.0,88.0,CORDOBA
230,CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,5.12,7.09,0.57,63.45,5.48,0.26,16.55,1.22,0.15,0.11,371,513,41,4594,397,19,1198,88,11,8,71.74,10856,7788,1.46,4.73,0.85,114.0,368.0,66.0,CORDOBA
231,CORDOBA_UNION,"Union, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,12.67,10.0,1.18,35.59,17.77,0.39,19.51,2.6,0.19,0.11,7821,6172,729,21972,10969,240,12045,1607,119,67,77.92,82741,64471,1.71,1.79,0.74,1104.0,1152.0,474.0,CORDOBA
258,ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.72,9.96,1.61,44.32,11.73,0.65,21.63,3.12,0.53,0.73,2038,3552,575,15800,4181,232,7711,1113,190,260,82.54,45531,37582,3.66,0.03,1.44,1376.0,11.0,543.0,ENTRE RIOS
259,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.61,7.01,1.18,62.28,9.73,1.21,10.29,2.83,0.37,0.5,4007,6099,1024,54160,8465,1051,8948,2459,318,433,77.56,118213,91685,3.7,0.06,1.39,3389.0,54.0,1278.0,ENTRE RIOS
260,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.93,14.88,0.97,38.74,14.56,0.46,22.59,1.96,0.47,0.44,1326,4005,260,10428,3918,124,6081,527,127,119,78.8,35994,28363,3.91,0.06,1.13,1110.0,18.0,320.0,ENTRE RIOS
261,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,3.12,5.88,0.85,44.48,12.05,0.83,29.6,2.32,0.32,0.55,1163,2192,318,16578,4490,311,11032,865,120,204,80.96,48520,39283,3.71,0.05,1.35,1458.0,21.0,531.0,ENTRE RIOS
262,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2.04,3.5,0.73,50.71,5.76,0.27,35.11,1.23,0.27,0.38,293,502,105,7278,826,39,5039,176,39,54,78.65,19127,15043,3.88,0.17,0.55,584.0,26.0,82.0,ENTRE RIOS
263,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2.0,3.42,0.81,54.71,14.74,0.35,20.93,1.35,0.53,1.15,158,271,64,4331,1167,28,1657,107,42,91,76.73,10704,8213,2.64,0.12,0.85,217.0,10.0,70.0,ENTRE RIOS
264,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.96,9.76,1.31,48.4,16.3,1.06,14.15,2.9,0.52,0.63,1232,2424,325,12020,4049,262,3513,721,130,157,71.29,39590,28222,9.91,1.08,1.02,2796.0,305.0,288.0,ENTRE RIOS
265,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,8.79,12.8,1.72,41.3,16.33,0.77,13.54,3.45,0.58,0.72,5855,8527,1149,27517,10884,515,9025,2297,388,478,83.02,83051,68950,1.85,0.17,1.34,1277.0,117.0,921.0,ENTRE RIOS
266,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.24,2.95,0.79,62.11,6.94,0.42,19.45,1.03,0.23,0.83,360,203,54,4269,477,29,1337,71,16,57,76.92,9279,7137,2.61,0.01,1.08,186.0,1.0,77.0,ENTRE RIOS
267,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.64,8.16,0.75,50.84,10.57,0.61,20.63,1.98,0.34,0.48,1757,2543,234,15848,3295,190,6431,617,105,150,68.02,50296,34209,7.67,0.08,1.13,2625.0,29.0,385.0,ENTRE RIOS
268,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.34,10.89,0.81,45.16,15.99,0.81,18.98,2.01,0.41,0.59,949,2381,178,9872,3496,177,4149,439,89,128,79.84,30109,24039,8.21,0.05,0.82,1973.0,11.0,197.0,ENTRE RIOS
269,ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,10.32,23.66,1.14,37.84,9.34,1.04,13.59,2.35,0.29,0.45,14585,33448,1606,53494,13202,1464,19207,3329,403,632,78.77,188110,148182,2.76,0.08,1.76,4083.0,118.0,2611.0,ENTRE RIOS
270,ENTRE RIOS_PARANA - CAMPANA,"Parana - Campana, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.29,15.6,0.95,40.83,15.26,0.62,19.82,1.78,0.29,0.56,2390,8681,527,22720,8494,346,11030,989,162,310,82.91,70819,58715,4.29,0.04,0.89,2520.0,26.0,520.0,ENTRE RIOS
271,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,3.58,6.13,1.13,43.93,23.33,0.6,18.17,1.93,0.55,0.66,386,661,122,4739,2517,65,1960,208,59,71,83.08,13650,11341,4.1,0.0,0.78,465.0,0.0,88.0,ENTRE RIOS
272,ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.76,8.33,0.79,47.8,15.04,0.3,20.28,2.11,0.34,0.24,707,1238,118,7103,2235,45,3014,313,51,36,78.27,20680,16186,7.38,0.02,0.79,1195.0,3.0,128.0,ENTRE RIOS
273,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,7.49,13.9,1.4,45.44,12.27,0.72,14.5,3.18,0.45,0.64,4109,7622,770,24913,6727,395,7947,1744,248,350,80.81,74513,60213,7.42,0.04,1.48,4470.0,27.0,891.0,ENTRE RIOS
274,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,6.12,19.59,1.05,39.41,14.59,0.34,15.34,1.96,0.41,1.2,1154,3692,197,7428,2750,64,2891,370,78,226,74.75,27149,20293,5.89,0.01,1.2,1196.0,3.0,244.0,ENTRE RIOS
275,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.14,8.56,1.13,53.67,12.46,0.48,16.16,2.32,0.35,0.72,996,2059,273,12909,2998,115,3888,559,84,172,71.19,36004,25630,4.94,0.04,1.18,1265.0,9.0,303.0,ENTRE RIOS
300,LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,7.72,4.64,0.73,44.12,11.73,0.24,27.9,2.42,0.27,0.23,507,305,48,2899,771,16,1833,159,18,15,82.89,8478,7027,5.45,0.01,1.02,383.0,1.0,72.0,LA PAMPA
301,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,4.95,2.83,0.88,73.47,5.31,0.0,10.26,1.68,0.35,0.27,56,32,10,831,60,0,116,19,4,3,82.97,1421,1179,3.14,0.0,0.93,37.0,0.0,11.0,LA PAMPA
302,LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,9.85,9.29,1.94,52.35,9.22,0.75,13.0,2.94,0.34,0.32,5963,5621,1173,31684,5582,456,7867,1780,205,196,77.51,82581,64011,3.39,0.18,1.87,2168.0,118.0,1198.0,LA PAMPA
303,LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,8.97,2.97,0.65,48.95,14.14,0.28,20.7,3.01,0.26,0.07,387,128,28,2111,610,12,893,130,11,3,81.28,5577,4533,2.54,0.07,2.25,115.0,3.0,102.0,LA PAMPA
304,LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,12.37,2.73,0.68,55.25,11.93,0.44,10.88,4.6,0.0,1.12,199,44,11,889,192,7,175,74,0,18,79.15,2187,1731,2.66,2.31,2.08,46.0,40.0,36.0,LA PAMPA
305,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.75,5.5,1.1,40.57,15.43,0.27,15.97,2.68,0.11,0.62,1296,402,80,2963,1127,20,1166,196,8,45,81.39,9402,7652,3.33,0.08,1.15,255.0,6.0,88.0,LA PAMPA
306,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,5.56,3.95,0.59,61.35,5.86,0.0,15.96,5.27,0.29,1.17,38,27,4,419,40,0,109,36,2,8,70.11,1047,734,1.5,2.86,2.59,11.0,21.0,19.0,LA PAMPA
307,LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,9.5,5.39,1.06,49.48,11.55,0.44,20.03,1.97,0.25,0.34,873,495,97,4547,1061,40,1841,181,23,31,81.47,12103,9860,5.49,0.04,1.28,541.0,4.0,126.0,LA PAMPA
308,LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,4.99,1.29,1.66,64.7,5.91,0.55,19.04,1.29,0.18,0.37,27,7,9,350,32,3,103,7,1,2,75.2,746,561,2.67,0.0,0.89,15.0,0.0,5.0,LA PAMPA
309,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,10.69,6.67,1.5,36.85,15.56,0.59,23.4,3.68,0.32,0.74,563,351,79,1940,819,31,1232,194,17,39,80.91,6966,5636,5.89,0.0,0.69,332.0,0.0,39.0,LA PAMPA
310,LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,12.11,6.35,0.92,42.76,13.36,0.37,19.53,3.8,0.39,0.43,622,326,47,2196,686,19,1003,195,20,22,83.86,6765,5673,3.51,4.55,1.41,199.0,258.0,80.0,LA PAMPA
311,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,18.25,1.46,0.73,34.31,7.3,0.0,27.74,8.76,1.46,0.0,25,2,1,47,10,0,38,12,2,0,75.0,208,156,10.9,0.0,1.28,17.0,0.0,2.0,LA PAMPA
312,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,6.43,0.32,0.0,71.38,4.5,0.0,15.76,1.29,0.0,0.32,20,1,0,222,14,0,49,4,0,1,75.48,420,317,1.26,0.0,0.63,4.0,0.0,2.0,LA PAMPA
313,LA PAMPA_LOVENTUE,"Loventue, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,10.95,4.21,0.57,58.84,8.05,0.14,14.49,2.24,0.14,0.36,611,235,32,3282,449,8,808,125,8,20,81.96,7074,5798,2.97,0.12,0.71,172.0,7.0,41.0,LA PAMPA
314,LA PAMPA_MARACO,"Maraco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,16.59,8.04,1.68,43.09,12.38,0.57,13.29,3.59,0.31,0.47,5630,2728,570,14627,4203,193,4511,1218,106,158,79.25,45433,36006,3.54,0.34,1.84,1276.0,122.0,664.0,LA PAMPA
315,LA PAMPA_PUELEN,"Puelen, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,5.96,4.19,1.23,63.14,14.41,0.21,7.38,2.48,0.38,0.63,286,201,59,3028,691,10,354,119,18,30,85.25,6298,5369,8.31,0.17,2.2,446.0,9.0,118.0,LA PAMPA
316,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,12.52,5.02,1.52,35.79,17.37,0.34,22.81,3.86,0.45,0.34,669,268,81,1912,928,18,1219,206,24,18,80.92,7123,5764,5.45,0.03,1.82,314.0,2.0,105.0,LA PAMPA
317,LA PAMPA_RANCUL,"Rancul, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.26,4.54,0.77,41.36,11.34,0.16,24.33,1.72,0.22,0.3,968,288,49,2623,719,10,1543,109,14,19,83.37,8333,6947,3.57,3.89,1.25,248.0,270.0,87.0,LA PAMPA
318,LA PAMPA_REALICO,"Realico, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.32,5.88,0.82,39.67,13.89,0.25,19.14,2.41,0.25,0.38,1745,592,83,3996,1399,25,1928,243,25,38,80.37,13032,10474,2.64,0.04,1.14,277.0,4.0,119.0,LA PAMPA
319,LA PAMPA_TOAY,"Toay, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,9.94,6.44,1.53,56.97,9.19,0.23,12.85,2.25,0.3,0.3,593,384,91,3397,548,14,766,134,18,18,77.46,8110,6282,2.98,0.27,1.83,187.0,17.0,115.0,LA PAMPA
