,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
516,516,TUCUMAN_GRANEROS,"Graneros, Tucuman",UNION POR LA PATRIA,0.65,0.0,0.45,1.06,13.74,20.26,0.29,0.18,0.27,0.45,0.15,0.0,0.0,0.0,62.49,56.0,0.0,39.0,92.0,1189.0,1753.0,25.0,16.0,23.0,39.0,13.0,0.0,0.0,0.0,5407.0,70.7,12623,8925,2.44,0.13,0.48,218,12,TUCUMAN
517,517,TUCUMAN_JUAN BAUTISTA ALBERDI,"Juan Bautista Alberdi, Tucuman",UNION POR LA PATRIA,0.86,0.05,0.34,1.28,19.27,34.35,0.3,0.21,0.49,0.37,0.13,0.27,0.0,0.0,42.08,165.0,10.0,64.0,245.0,3677.0,6553.0,57.0,41.0,93.0,70.0,24.0,51.0,0.0,0.0,8027.0,72.44,27227,19723,2.51,0.03,0.74,496,5,TUCUMAN
518,518,TUCUMAN_LA COCHA,"La Cocha, Tucuman",UNION POR LA PATRIA,0.51,0.0,0.41,1.33,15.43,31.24,0.2,0.21,0.72,0.34,0.2,0.0,0.0,0.0,49.42,61.0,0.0,49.0,160.0,1862.0,3770.0,24.0,25.0,87.0,41.0,24.0,0.0,0.0,0.0,5963.0,72.91,17073,12448,2.23,0.12,0.72,277,15,TUCUMAN
519,519,TUCUMAN_LEALES,"Leales, Tucuman",UNION POR LA PATRIA,0.69,0.04,0.28,0.91,20.34,28.94,0.29,0.21,0.43,0.43,0.49,0.04,0.0,0.0,46.91,249.0,15.0,101.0,331.0,7365.0,10477.0,106.0,77.0,156.0,156.0,177.0,14.0,0.0,0.0,16983.0,73.27,51356,37631,2.92,0.12,0.75,1097,44,TUCUMAN
520,520,TUCUMAN_LULES,"Lules, Tucuman",LA LIBERTAD AVANZA,1.01,0.0,0.29,1.09,20.06,42.63,0.32,0.22,0.33,1.28,0.35,0.2,0.0,0.0,32.21,412.0,0.0,120.0,443.0,8162.0,17343.0,132.0,88.0,134.0,519.0,142.0,80.0,1.0,0.0,13103.0,73.63,57857,42603,3.21,0.11,1.2,1367,47,TUCUMAN
521,521,TUCUMAN_MONTEROS,"Monteros, Tucuman",UNION POR LA PATRIA,0.91,0.0,0.32,1.21,13.41,33.4,0.29,0.21,0.37,0.9,0.38,0.0,0.0,0.0,48.59,386.0,0.0,136.0,512.0,5686.0,14163.0,124.0,91.0,158.0,382.0,161.0,0.0,0.0,1.0,20603.0,75.03,58307,43746,2.28,0.16,0.63,998,68,TUCUMAN
522,522,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",UNION POR LA PATRIA,1.03,0.01,0.42,1.22,12.9,28.6,0.41,0.21,0.49,0.6,0.18,0.01,0.01,0.0,53.92,405.0,5.0,167.0,480.0,5089.0,11282.0,163.0,81.0,193.0,235.0,72.0,2.0,3.0,0.0,21272.0,79.61,51367,40893,2.85,0.06,0.63,1165,23,TUCUMAN
523,523,TUCUMAN_SIMOCA,"Simoca, Tucuman",UNION POR LA PATRIA,0.54,0.0,0.29,0.84,15.53,25.65,0.26,0.14,0.18,0.4,0.11,0.02,0.0,0.0,56.05,116.0,0.0,62.0,182.0,3362.0,5554.0,57.0,31.0,39.0,86.0,23.0,5.0,0.0,0.0,12138.0,75.57,29409,22225,1.91,0.14,0.51,425,32,TUCUMAN
524,524,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",UNION POR LA PATRIA,1.64,0.02,0.59,2.89,13.6,35.83,0.46,0.37,0.46,0.69,0.21,0.78,0.0,0.0,42.47,169.0,2.0,61.0,298.0,1400.0,3689.0,47.0,38.0,47.0,71.0,22.0,80.0,0.0,0.0,4373.0,66.28,16393,10866,3.97,0.13,1.14,431,14,TUCUMAN
525,525,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",LA LIBERTAD AVANZA,2.07,0.03,0.34,1.46,19.36,45.04,0.38,0.21,0.37,1.07,0.39,0.41,0.01,0.0,28.86,1801.0,26.0,299.0,1267.0,16852.0,39203.0,333.0,183.0,326.0,930.0,337.0,359.0,10.0,0.0,25117.0,72.83,125985,91759,3.51,0.26,1.37,3221,235,TUCUMAN
526,526,TUCUMAN_TRANCAS,"Trancas, Tucuman",UNION POR LA PATRIA,1.09,0.0,0.47,1.83,14.05,36.73,0.42,0.28,0.35,0.36,0.23,0.02,0.0,0.0,44.16,121.0,0.0,52.0,203.0,1555.0,4064.0,46.0,31.0,39.0,40.0,25.0,2.0,0.0,0.0,4886.0,68.0,17037,11585,3.09,0.19,1.22,358,22,TUCUMAN
527,527,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",JUNTOS POR EL CAMBIO,1.56,0.01,0.22,1.37,39.01,33.39,0.27,0.19,0.25,1.38,0.34,0.45,0.0,0.01,21.54,880.0,6.0,126.0,770.0,21955.0,18792.0,154.0,108.0,139.0,779.0,189.0,255.0,0.0,6.0,12124.0,74.51,79337,59116,3.44,0.19,1.16,2034,115,TUCUMAN
