,Unnamed: 0,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
41,41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,36.85,63.15,91681,157084,75.6,336305,254242,1.58,0.02,0.56,4015,45
50,50,BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",LA LIBERTAD AVANZA,50.49,49.51,5583,5474,80.47,14194,11422,1.73,0.03,1.44,198,3
55,55,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",UNION POR LA PATRIA,47.41,52.59,31299,34720,72.88,92825,67647,1.55,0.06,0.79,1051,40
56,56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,47.82,52.18,122681,133850,75.35,351922,265179,1.85,0.07,1.34,4899,197
61,61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,46.4,53.6,54429,62875,76.68,157798,120996,1.4,0.05,1.61,1693,56
62,62,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,47.66,52.34,52845,58026,77.71,148214,115180,2.38,0.06,1.3,2747,64
63,63,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,40.13,59.87,67356,100499,74.69,230333,172028,1.12,0.07,1.23,1926,124
66,66,BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",UNION POR LA PATRIA,38.81,61.19,303672,478833,76.72,1048994,804780,1.64,0.04,1.09,13193,334
67,67,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",LA LIBERTAD AVANZA,50.46,49.54,208515,204713,75.86,568409,431175,2.3,0.09,1.77,9907,400
68,68,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",UNION POR LA PATRIA,43.89,56.11,123042,157320,77.01,377163,290468,2.17,0.07,1.24,6308,190
76,76,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",UNION POR LA PATRIA,41.44,58.56,160971,227514,78.13,513934,401540,1.84,0.06,1.36,7383,221
77,77,BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",LA LIBERTAD AVANZA,56.72,43.28,39877,30431,75.98,95652,72672,1.63,0.07,1.55,1182,52
80,80,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",UNION POR LA PATRIA,43.33,56.67,92179,120549,77.89,279778,217928,1.22,0.11,1.05,2667,238
82,82,BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",UNION POR LA PATRIA,41.74,58.26,15205,21219,77.0,48686,37487,1.77,0.02,1.05,662,7
84,84,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",UNION POR LA PATRIA,40.05,59.95,122827,183842,73.82,426951,315182,1.5,0.1,1.09,4741,322
87,87,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",UNION POR LA PATRIA,40.5,59.5,108116,158839,75.59,363304,274614,1.83,0.09,0.87,5029,254
88,88,BUENOS AIRES_MORON,"Moron, Buenos Aires",LA LIBERTAD AVANZA,50.54,49.46,105225,102965,77.99,277634,216536,2,0.08,1.77,4341,180
97,97,BUENOS AIRES_PILAR,"Pilar, Buenos Aires",LA LIBERTAD AVANZA,52.11,47.89,108260,99478,77.35,275438,213048,1.17,0.05,1.27,2497,113
99,99,BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",UNION POR LA PATRIA,39.86,60.14,21223,32025,76.91,71118,54700,1.12,0.05,1.49,610,25
102,102,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",UNION POR LA PATRIA,43.37,56.63,156553,204429,77.89,476950,371503,1.87,0.05,0.91,6956,184
115,115,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",UNION POR LA PATRIA,49.84,50.16,49865,50181,76.09,135417,103040,2.01,0.07,0.82,2073,77
116,116,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",LA LIBERTAD AVANZA,64.65,35.35,130059,71104,76.85,272559,209469,2.19,0.1,1.67,4595,206
117,117,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",LA LIBERTAD AVANZA,50.98,49.02,92652,89097,77.13,242727,187224,1.45,0.05,1.42,2722,100
120,120,BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",UNION POR LA PATRIA,44.52,55.48,19967,24880,70.43,65486,46124,1.56,0.07,1.14,719,30
124,124,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",LA LIBERTAD AVANZA,52.05,47.95,128526,118382,76.85,331269,254579,1.54,0.05,1.42,3921,126
129,129,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",UNION POR LA PATRIA,49.91,50.09,105315,105705,76.95,284472,218893,1.86,0.11,1.63,4074,233
131,131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",LA LIBERTAD AVANZA,62.61,37.39,106078,63362,77.24,230953,178380,2.9,0.07,2.04,5176,121
134,134,BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",LA LIBERTAD AVANZA,50.16,49.84,38211,37972,77.54,101466,78675,1.91,0.04,1.21,1506,32
188,188,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.71,42.29,66712,48894,68.27,176202,120288,2.15,0.05,1.69,2591,62
189,189,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.45,44.55,60358,48495,78.09,147067,114847,2.88,0.06,2.28,3309,64
190,190,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.87,42.13,73591,53583,78.54,171256,134513,3.12,0.08,2.25,4200,111
191,191,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.94,42.06,82141,59627,78.67,190819,150110,3.2,0.07,2.29,4804,102
192,192,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.88,33.12,102794,50899,75.29,216549,163049,3.93,0.04,1.76,6412,69
193,193,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.66,33.34,95260,47636,72.96,207012,151032,3.66,0.05,1.68,5523,69
194,194,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.44,49.56,59669,58629,76.37,163575,124923,3.08,0.07,2.15,3844,91
195,195,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,72.23,27.77,68722,26417,72.47,137779,99847,3.15,0.04,1.53,3143,36
196,196,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,53.71,46.29,57270,49365,71.89,155066,111477,2.26,0.06,2.03,2516,64
197,197,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.07,49.93,64516,64341,74.3,180576,134160,1.83,0.06,2.06,2459,83
198,198,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,51.26,48.74,56460,53690,75.62,153414,116018,2.92,0.06,2.08,3383,69
199,199,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,56.44,43.56,66137,51035,78.05,159176,124243,3.55,0.06,2.08,4412,78
200,200,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.05,44.95,68841,56211,75.4,174167,131317,2.63,0.05,2.09,3456,68
201,201,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",UNION POR LA PATRIA,49.55,50.45,52558,53511,74.85,146694,109802,1.46,0.05,1.88,1608,59
202,202,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,54.13,45.87,59128,50107,77.51,147324,114192,2.27,0.05,2.02,2596,56
