,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
297,296.0,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",JUNTOS POR EL CAMBIO,0.49,0.16,37.6,0.0,61.59,0.16,3,1,232,0,380,1,75.55,822,621,0.48,0.0,0.16,3,0,1,JUJUY
298,297.0,JUJUY_YAVI,"Yavi, Jujuy",FRENTE DE TODOS,6.79,2.5,58.27,3.04,27.2,2.2,853,314,7321,382,3417,277,73.73,17531,12925,1.32,0.02,1.45,171,3,187,JUJUY
321,320.0,LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE DE TODOS,2.45,0.45,59.47,0.89,36.0,0.74,165,30,4009,60,2427,50,79.47,12039,9567,27.65,0.04,1.85,2645,4,177,LA RIOJA
322,321.0,LA RIOJA_CAPITAL,"Capital, La Rioja",JUNTOS POR EL CAMBIO,5.14,1.38,38.84,1.38,51.08,2.19,4733,1273,35790,1271,47076,2015,76.5,149735,114546,18.4,0.19,0.96,21074,217,1097,LA RIOJA
323,322.0,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE DE TODOS,3.57,0.67,59.29,0.64,34.68,1.15,112,21,1860,20,1088,36,85.18,4425,3769,16.26,0.13,0.37,613,5,14,LA RIOJA
324,323.0,LA RIOJA_CHAMICAL,"Chamical, La Rioja",FRENTE DE TODOS,3.96,0.79,50.91,1.19,42.14,1.01,270,54,3472,81,2874,69,74.97,11911,8930,22.64,0.04,0.94,2022,4,84,LA RIOJA
325,324.0,LA RIOJA_CHILECITO,"Chilecito, La Rioja",JUNTOS POR EL CAMBIO,4.93,1.31,42.22,1.27,49.38,0.9,1138,302,9754,293,11409,208,77.03,40296,31041,24.46,0.02,1.09,7593,6,338,LA RIOJA
326,325.0,LA RIOJA_FAMATINA,"Famatina, La Rioja",FRENTE DE TODOS,4.61,0.7,54.96,0.73,37.87,1.12,157,24,1872,25,1290,38,83.17,5366,4463,23.37,0.0,0.31,1043,0,14,LA RIOJA
327,326.0,LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE DE TODOS,3.08,0.81,65.33,0.44,29.78,0.57,183,48,3885,26,1771,34,78.63,8777,6901,13.27,0.03,0.52,916,2,36,LA RIOJA
328,327.0,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE DE TODOS,1.95,0.06,71.06,0.49,25.59,0.85,32,1,1169,8,421,14,81.12,2489,2019,17.98,0.05,0.5,363,1,10,LA RIOJA
