,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
52,52,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",UNION POR LA PATRIA,1.63,2.68,26.57,28.36,40.76,149,245,2429,2593,3726,81.62,11676,9530,3.6,0.24,0.23,343,23,BUENOS AIRES
53,53,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",UNION POR LA PATRIA,1.48,3.12,29.2,26.61,39.6,121,256,2395,2183,3248,83.59,10240,8560,3.5,0.09,0.57,300,8,BUENOS AIRES
54,54,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",UNION POR LA PATRIA,3.66,4.01,29.88,27.85,34.6,14925,16320,121752,113464,140990,74.26,569289,422740,2.38,0.13,1.1,10077,553,BUENOS AIRES
57,57,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",UNION POR LA PATRIA,1.64,4.38,31.08,26.37,36.53,204,545,3871,3284,4549,81.37,15887,12928,3.22,0.19,0.27,416,24,BUENOS AIRES
58,58,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",LA LIBERTAD AVANZA,0.93,7.71,31.19,36.31,23.86,172,1427,5773,6720,4417,76.54,25583,19582,4.72,0.13,0.62,925,26,BUENOS AIRES
59,59,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",UNION POR LA PATRIA,1.49,3.45,30.14,27.6,37.33,113,262,2292,2099,2839,78.46,10099,7924,3.77,0.2,0.05,299,16,BUENOS AIRES
60,60,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",UNION POR LA PATRIA,1.45,4.36,30.65,29.21,34.34,88,265,1865,1777,2089,76.99,8246,6349,3.34,0.25,0.58,212,16,BUENOS AIRES
64,64,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",UNION POR LA PATRIA,2.25,6.29,29.29,27.22,34.95,1412,3942,18367,17067,21918,78.9,82066,64749,2.43,0.07,0.65,1576,46,BUENOS AIRES
65,65,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",UNION POR LA PATRIA,3.63,4.86,26.1,30.75,34.65,2058,2758,14798,17435,19645,73.72,79454,58575,2.43,0.19,0.59,1422,114,BUENOS AIRES
69,69,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",UNION POR LA PATRIA,1.51,3.06,28.55,27.27,39.62,113,230,2143,2047,2974,79.74,9883,7881,4.01,0.19,0.55,316,15,BUENOS AIRES
70,70,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",UNION POR LA PATRIA,2.45,5.64,27.27,29.31,35.34,407,938,4539,4878,5881,77.87,22431,17466,3.93,0.27,0.5,687,48,BUENOS AIRES
71,71,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",UNION POR LA PATRIA,1.35,4.62,26.51,29.89,37.62,160,547,3136,3536,4450,81.64,15122,12345,3.48,0.14,0.57,429,17,BUENOS AIRES
72,72,BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",JUNTOS POR EL CAMBIO,1.78,4.17,36.37,27.12,30.57,70,164,1431,1067,1203,83.54,4965,4148,4.68,0.1,0.36,194,4,BUENOS AIRES
