,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
212,208.0,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE PARA LA VICTORIA,49.84,50.16,16937,17046,73.8,46817,34552,0.67,0.04,0.93,233,13,323,CORDOBA
213,209.0,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",CAMBIEMOS,67.63,32.37,14341,6865,76.35,28262,21579,0.93,0.0,0.79,201,1,171,CORDOBA
214,210.0,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",CAMBIEMOS,61.37,38.63,53323,33559,80.67,110300,88974,1.01,0.04,1.3,895,39,1158,CORDOBA
215,211.0,CORDOBA_ISCHILIN,"Ischilin, Cordoba",CAMBIEMOS,61.52,38.48,12538,7841,77.71,26771,20803,0.89,0.11,1.04,185,23,216,CORDOBA
216,212.0,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",CAMBIEMOS,68.86,31.14,27727,12539,80.74,51116,41272,1.12,0.02,1.3,464,7,535,CORDOBA
217,213.0,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",CAMBIEMOS,70.95,29.05,48595,19900,80.7,86827,70069,1.55,0.0,0.69,1088,3,483,CORDOBA
218,214.0,CORDOBA_MINAS,"Minas, Cordoba",FRENTE PARA LA VICTORIA,47.14,52.86,1590,1783,69.05,4992,3447,0.81,0.0,1.33,28,0,46,CORDOBA
219,215.0,CORDOBA_POCHO,"Pocho, Cordoba",CAMBIEMOS,53.1,46.9,1593,1407,66.05,4616,3049,0.92,0.0,0.69,28,0,21,CORDOBA
220,216.0,CORDOBA_PUNILLA,"Punilla, Cordoba",CAMBIEMOS,72.63,27.37,87352,32923,78.16,158483,123868,0.98,0.03,1.89,1217,34,2342,CORDOBA
221,217.0,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",CAMBIEMOS,70.11,29.89,113382,48336,79.81,208598,166480,1.12,0.04,1.7,1872,59,2831,CORDOBA
222,218.0,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",CAMBIEMOS,71.69,28.31,22337,8820,81.2,39035,31698,0.83,0.0,0.88,262,1,278,CORDOBA
223,219.0,CORDOBA_RIO SECO,"Rio Seco, Cordoba",CAMBIEMOS,56.08,43.92,5152,4035,76.12,12288,9354,1.02,0.11,0.66,95,10,62,CORDOBA
224,220.0,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",CAMBIEMOS,73.33,26.67,51707,18805,82.33,87665,72174,0.92,0.0,1.39,661,1,1000,CORDOBA
225,221.0,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",CAMBIEMOS,71.41,28.59,16465,6591,78.05,30223,23589,1.11,0.0,1.14,263,1,269,CORDOBA
226,222.0,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",CAMBIEMOS,61.94,38.06,15220,9353,79.36,31726,25178,0.98,0.02,1.4,248,4,353,CORDOBA
227,223.0,CORDOBA_SAN JAVIER,"San Javier, Cordoba",CAMBIEMOS,56.77,43.23,20150,15341,79.41,45671,36269,0.98,0.02,1.14,355,8,415,CORDOBA
228,224.0,CORDOBA_SAN JUSTO,"San Justo, Cordoba",CAMBIEMOS,71.3,28.7,96535,38861,79.45,174350,138514,1.02,0.02,1.22,1409,26,1683,CORDOBA
229,225.0,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",CAMBIEMOS,74.03,25.97,49946,17518,80.82,85874,69407,0.95,0.04,1.8,660,31,1252,CORDOBA
230,226.0,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",CAMBIEMOS,55.56,44.44,1608,1286,75.34,3913,2948,1.15,0.0,0.68,34,0,20,CORDOBA
231,227.0,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",CAMBIEMOS,71.97,28.03,54846,21357,80.95,96330,77981,1.05,0.01,1.22,816,11,951,CORDOBA
232,228.0,CORDOBA_TOTORAL,"Totoral, Cordoba",CAMBIEMOS,70.84,29.16,9185,3781,82.09,16023,13154,0.67,0.01,0.75,88,1,99,CORDOBA
233,229.0,CORDOBA_TULUMBA,"Tulumba, Cordoba",CAMBIEMOS,56.99,43.01,4969,3750,74.27,11936,8865,0.83,0.01,0.8,74,1,71,CORDOBA
234,230.0,CORDOBA_UNION,"Union, Cordoba",CAMBIEMOS,67.54,32.46,46435,22315,78.07,90040,70291,1.26,0.02,0.91,887,12,642,CORDOBA
260,256.0,ENTRE RIOS_COLON,"Colon, Entre Rios",CAMBIEMOS,53.25,46.75,23054,20238,83.63,52787,44148,0.78,0.04,1.11,345,19,492,ENTRE RIOS
261,257.0,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE PARA LA VICTORIA,44.45,55.55,49600,61977,84.03,135161,113576,0.56,0.11,1.1,635,120,1244,ENTRE RIOS
262,258.0,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",CAMBIEMOS,61.5,38.5,18836,11792,80.0,39019,31214,0.79,0.01,1.07,247,4,335,ENTRE RIOS
263,259.0,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",CAMBIEMOS,57.46,42.54,26191,19390,84.14,55104,46364,0.62,0.02,1.04,289,11,483,ENTRE RIOS
264,260.0,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE PARA LA VICTORIA,40.1,59.9,7192,10742,82.94,21871,18140,0.42,0.06,0.66,77,10,119,ENTRE RIOS
265,261.0,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE PARA LA VICTORIA,40.89,59.11,4080,5898,82.22,12329,10137,0.43,0.02,1.11,44,2,113,ENTRE RIOS
266,262.0,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",CAMBIEMOS,56.91,43.09,19933,15093,81.59,43791,35727,0.94,0.04,0.98,336,15,350,ENTRE RIOS
267,263.0,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",CAMBIEMOS,58.52,41.48,44740,31708,85.47,91297,78031,0.84,0.04,1.15,654,32,897,ENTRE RIOS
268,264.0,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE PARA LA VICTORIA,45.85,54.15,3982,4702,81.93,10740,8799,0.49,0.0,0.82,43,0,72,ENTRE RIOS
269,265.0,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE PARA LA VICTORIA,44.06,55.94,19502,24761,80.87,55545,44922,0.55,0.02,0.9,247,8,404,ENTRE RIOS
270,266.0,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",CAMBIEMOS,53.56,46.44,14218,12326,83.24,32387,26960,0.88,0.03,0.63,238,9,169,ENTRE RIOS
271,267.0,ENTRE RIOS_PARANA,"Parana, Entre Rios",CAMBIEMOS,57.96,42.04,136632,99102,83.74,288648,241709,0.99,0.08,1.4,2396,202,3377,ENTRE RIOS
272,268.0,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",CAMBIEMOS,55.56,44.44,6725,5380,85.19,14481,12336,0.65,0.01,1.22,80,1,150,ENTRE RIOS
273,269.0,ENTRE RIOS_TALA,"Tala, Entre Rios",CAMBIEMOS,55.42,44.58,10075,8103,81.78,22684,18552,0.91,0.01,1.1,169,1,204,ENTRE RIOS
274,270.0,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",CAMBIEMOS,54.5,45.5,36817,30733,83.7,82611,69147,0.98,0.03,1.3,676,20,901,ENTRE RIOS
275,271.0,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",CAMBIEMOS,59.24,40.76,14160,9743,81.63,29755,24289,0.61,0.04,0.94,147,10,229,ENTRE RIOS
276,272.0,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",CAMBIEMOS,50.12,49.88,15261,15186,79.13,39283,31086,0.8,0.04,1.21,249,13,377,ENTRE RIOS
301,297.0,LA PAMPA_ATREUCO,"Atreuco, La Pampa",CAMBIEMOS,55.22,44.78,4051,3285,81.75,9156,7485,0.8,0.0,1.19,60,0,89,LA PAMPA
302,298.0,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",FRENTE PARA LA VICTORIA,31.07,68.93,420,932,80.16,1724,1382,0.65,0.0,1.52,9,0,21,LA PAMPA
303,299.0,LA PAMPA_CAPITAL,"Capital, La Pampa",FRENTE PARA LA VICTORIA,47.73,52.27,33123,36270,78.84,90372,71247,0.99,0.07,1.54,706,48,1100,LA PAMPA
