,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
499,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.84,0.97,0.35,85.16,5.47,0.11,5.39,0.78,0.14,0.79,116,133,48,11717,753,15,741,107,19,109,65.98,21181,13975,1.12,0.11,0.32,157.0,15.0,45.0,SANTIAGO DEL ESTERO
500,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,2.05,2.17,0.36,80.8,5.07,0.43,7.96,0.83,0.09,0.23,153,162,27,6021,378,32,593,62,7,17,69.17,10955,7578,1.29,0.04,0.33,98.0,3.0,25.0,SANTIAGO DEL ESTERO
501,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.58,0.79,0.25,88.05,4.86,0.18,3.86,0.54,0.11,0.78,49,67,21,7443,411,15,326,46,9,66,60.29,14218,8572,1.04,0.06,0.29,89.0,5.0,25.0,SANTIAGO DEL ESTERO
502,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.34,1.59,0.59,79.02,9.91,0.15,6.37,0.46,0.23,0.34,64,76,28,3770,473,7,304,22,11,16,62.15,7784,4838,0.97,0.04,0.37,47.0,2.0,18.0,SANTIAGO DEL ESTERO
503,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.17,1.17,0.63,86.57,5.27,0.16,3.95,0.8,0.07,0.21,307,308,166,22788,1388,42,1039,211,19,56,69.82,38336,26766,0.89,0.09,0.68,238.0,23.0,181.0,SANTIAGO DEL ESTERO
504,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.89,5.31,0.25,53.82,22.09,0.15,14.92,1.31,0.15,0.11,52,146,7,1479,607,4,410,36,4,3,77.11,3596,2773,0.65,0.04,0.22,18.0,1.0,6.0,SANTIAGO DEL ESTERO
505,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,1.84,1.19,0.55,84.0,6.04,0.18,4.87,0.9,0.1,0.31,379,244,114,17267,1242,38,1002,185,20,64,70.56,29567,20862,1.07,0.04,0.36,223.0,8.0,76.0,SANTIAGO DEL ESTERO
506,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.8,0.93,0.13,90.77,3.03,0.53,2.78,0.62,0.09,0.33,36,42,6,4109,137,24,126,28,4,15,59.06,7767,4587,1.13,0.02,0.15,52.0,1.0,7.0,SANTIAGO DEL ESTERO
507,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.59,0.44,0.44,91.04,3.04,0.17,2.89,0.86,0.15,0.37,24,18,18,3689,123,7,117,35,6,15,63.19,6515,4117,1.24,0.05,0.29,51.0,2.0,12.0,SANTIAGO DEL ESTERO
508,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,0.62,0.62,0.22,89.82,5.6,0.06,1.73,0.67,0.17,0.5,11,11,4,1605,100,1,31,12,3,9,68.33,2649,1810,0.94,0.0,0.33,17.0,0.0,6.0,SANTIAGO DEL ESTERO
