,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
484,480.0,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",FRENTE PARA LA VICTORIA,30.03,69.97,27267,63524,81.0,113661,92060,0.59,0.04,0.75,546,36,687,SANTIAGO DEL ESTERO
485,481.0,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",FRENTE PARA LA VICTORIA,48.65,51.35,2952,3116,82.55,7417,6123,0.49,0.0,0.41,30,0,25,SANTIAGO DEL ESTERO
486,482.0,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",FRENTE PARA LA VICTORIA,36.65,63.35,66424,114803,83.05,221647,184077,0.65,0.03,0.87,1194,60,1596,SANTIAGO DEL ESTERO
487,483.0,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.7,74.3,5865,16956,79.15,29292,23186,0.72,0.03,0.83,166,7,192,SANTIAGO DEL ESTERO
488,484.0,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",FRENTE PARA LA VICTORIA,17.11,82.89,2646,12816,77.26,20156,15572,0.45,0.0,0.26,70,0,40,SANTIAGO DEL ESTERO
489,485.0,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",FRENTE PARA LA VICTORIA,9.73,90.27,935,8677,73.89,13064,9653,0.19,0.03,0.21,18,3,20,SANTIAGO DEL ESTERO
490,486.0,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",FRENTE PARA LA VICTORIA,14.3,85.7,745,4464,80.61,6512,5249,0.4,0.08,0.29,21,4,15,SANTIAGO DEL ESTERO
491,487.0,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",FRENTE PARA LA VICTORIA,13.26,86.74,1133,7412,76.6,11218,8593,0.34,0.02,0.2,29,2,17,SANTIAGO DEL ESTERO
492,488.0,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",FRENTE PARA LA VICTORIA,18.68,81.32,1772,7713,78.63,12153,9556,0.48,0.05,0.21,46,5,20,SANTIAGO DEL ESTERO
493,489.0,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",FRENTE PARA LA VICTORIA,25.76,74.24,3263,9405,77.5,16519,12802,0.52,0.0,0.53,66,0,68,SANTIAGO DEL ESTERO
