,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
24,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.94,0.69,2.82,39.18,1.76,27.6,12675,312,1279,17772,799,12520,84.24,55421,46685,2.41,0.06,0.37,1127,28,173,BUENOS AIRES
25,BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.29,1.58,2.75,39.81,4.18,17.39,5341,246,428,6200,651,2708,82.87,19384,16063,2.63,0.02,0.39,422,4,63,BUENOS AIRES
26,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA CAMBIEMOS,48.96,0.93,1.85,30.62,2.66,14.97,5228,99,198,3270,284,1599,82.37,13617,11216,4.32,0.03,0.45,484,3,51,BUENOS AIRES
27,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA CAMBIEMOS,44.93,1.17,2.25,32.49,2.51,16.65,6540,170,327,4729,366,2424,79.58,19687,15666,6.73,0.04,0.31,1054,7,49,BUENOS AIRES
28,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA CAMBIEMOS,51.31,1.34,2.29,20.58,2.8,21.69,18321,477,818,7347,1000,7745,77.51,47359,36706,2.11,0.01,0.59,775,5,218,BUENOS AIRES
29,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA CAMBIEMOS,43.44,1.12,2.34,29.05,2.67,21.38,10654,274,575,7126,654,5243,81.94,31306,25653,3.65,0.05,0.69,936,13,178,BUENOS AIRES
30,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA CAMBIEMOS,45.87,0.67,0.88,36.93,1.16,14.49,5436,79,104,4377,138,1717,86.7,14225,12333,3.44,0.02,0.45,424,2,56,BUENOS AIRES
31,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",ALIANZA CAMBIEMOS,45.45,0.49,1.46,27.27,1.78,23.55,8067,87,259,4840,316,4181,82.02,22670,18593,3.89,0.09,0.56,723,16,104,BUENOS AIRES
37,BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",ALIANZA CAMBIEMOS,44.66,0.7,1.25,41.3,1.12,10.96,2921,46,82,2701,73,717,88.06,7572,6668,1.51,0.03,0.37,101,2,25,BUENOS AIRES
39,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",ALIANZA CAMBIEMOS,33.8,0.87,2.59,29.94,3.2,29.59,8429,218,647,7467,798,7380,78.18,32862,25690,2.36,0.09,0.47,607,23,121,BUENOS AIRES
40,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",ALIANZA CAMBIEMOS,49.6,0.48,0.96,34.4,0.56,14.0,3205,31,62,2223,36,905,86.12,7895,6799,4.85,0.0,0.1,330,0,7,BUENOS AIRES
41,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",ALIANZA CAMBIEMOS,49.68,1.22,1.15,34.57,1.21,12.17,5907,145,137,4111,144,1447,85.51,14241,12177,1.91,0.04,0.39,233,5,48,BUENOS AIRES
42,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",ALIANZA CAMBIEMOS,43.12,0.78,1.8,37.25,1.39,15.65,5448,98,228,4707,176,1978,84.48,15449,13051,2.93,0.04,0.21,383,5,28,BUENOS AIRES
43,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",ALIANZA CAMBIEMOS,48.52,0.35,1.68,28.21,2.03,19.22,982,7,34,571,41,389,85.88,2457,2110,3.89,0.0,0.19,82,0,4,BUENOS AIRES
44,BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",ALIANZA CAMBIEMOS,43.6,0.6,1.57,38.94,1.31,13.99,3200,44,115,2858,96,1027,85.26,9049,7715,4.11,0.01,0.74,317,1,57,BUENOS AIRES
45,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",ALIANZA CAMBIEMOS,43.75,0.66,0.99,21.01,1.14,32.45,1193,18,27,573,31,885,82.7,3422,2830,3.18,0.07,0.39,90,2,11,BUENOS AIRES
46,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",ALIANZA CAMBIEMOS,39.56,0.69,2.4,34.58,1.45,21.31,5043,88,306,4408,185,2717,80.68,16354,13194,2.88,0.02,0.49,380,3,64,BUENOS AIRES
47,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",ALIANZA CAMBIEMOS,40.23,0.64,1.3,39.99,1.55,16.3,3292,52,106,3272,127,1334,87.25,9625,8398,2.39,0.07,0.1,201,6,8,BUENOS AIRES
48,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.7,1.03,2.82,36.88,2.42,21.15,2697,78,213,2786,183,1598,85.37,9187,7843,3.23,0.03,0.42,253,2,33,BUENOS AIRES
49,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA CAMBIEMOS,39.94,1.01,3.32,32.29,3.28,20.16,156044,3949,12953,126173,12812,78779,74.46,540300,402288,1.85,0.06,0.96,7446,260,3872,BUENOS AIRES
52,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA CAMBIEMOS,39.27,1.59,1.35,34.57,1.69,21.53,4489,182,154,3951,193,2461,82.97,14230,11806,2.77,0.04,0.37,327,5,44,BUENOS AIRES
53,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA CAMBIEMOS,40.46,1.77,1.44,17.86,1.58,36.9,7619,333,271,3362,297,6947,82.62,23601,19498,3.01,0.02,0.41,586,4,79,BUENOS AIRES
54,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.27,0.83,1.82,42.55,2.37,20.17,2660,68,150,3507,195,1662,83.78,10420,8730,4.97,0.18,0.44,434,16,38,BUENOS AIRES
55,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.6,1.07,41.0,1.48,13.57,3080,44,78,2988,108,989,84.91,8839,7505,2.81,0.01,0.08,211,1,6,BUENOS AIRES
56,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA CAMBIEMOS,43.77,0.84,1.3,37.62,1.09,15.39,2457,47,73,2112,61,864,81.7,7173,5860,3.82,0.09,0.29,224,5,17,BUENOS AIRES
60,BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.36,0.64,2.63,37.85,2.91,22.61,4346,83,342,4931,379,2946,82.03,16447,13491,2.74,0.01,0.69,369,2,93,BUENOS AIRES
61,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA CAMBIEMOS,38.72,2.32,2.38,28.93,2.87,24.78,22999,1377,1415,17186,1702,14717,80.79,75964,61373,2.64,0.04,0.54,1618,27,332,BUENOS AIRES
62,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA CAMBIEMOS,38.21,1.05,3.66,33.92,2.15,21.01,18203,502,1743,16160,1023,10011,75.05,65517,49173,2.1,0.25,0.76,1035,124,372,BUENOS AIRES
65,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,41.16,0.6,1.48,44.5,1.97,10.28,3026,44,109,3272,145,756,82.75,9156,7577,2.56,0.08,0.33,194,6,25,BUENOS AIRES
66,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA CAMBIEMOS,40.31,0.93,2.29,33.67,4.35,18.46,6356,146,361,5309,686,2911,82.78,19906,16479,3.85,0.01,0.45,634,2,74,BUENOS AIRES
68,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.9,2.11,1.97,36.93,1.77,20.32,4310,246,230,4314,207,2374,81.95,14647,12003,2.39,0.01,0.28,287,1,34,BUENOS AIRES
69,BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",ALIANZA CAMBIEMOS,43.96,0.55,1.32,39.88,1.64,12.65,1765,22,53,1601,66,508,87.17,4746,4137,2.76,0.1,0.1,114,4,4,BUENOS AIRES
70,BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",ALIANZA CAMBIEMOS,44.62,1.1,1.61,34.13,1.89,16.66,13023,320,471,9962,551,4862,84.77,35330,29949,2.17,0.03,0.34,649,8,103,BUENOS AIRES
71,BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",ALIANZA CAMBIEMOS,47.3,0.58,1.57,34.12,1.44,15.0,5395,66,179,3892,164,1711,82.76,14239,11784,2.58,0.04,0.58,304,5,68,BUENOS AIRES
72,BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",ALIANZA CAMBIEMOS,44.87,1.1,2.37,31.12,2.19,18.35,10519,257,556,7296,514,4303,83.19,29075,24188,2.73,0.03,0.31,660,8,75,BUENOS AIRES
75,BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",ALIANZA CAMBIEMOS,40.21,0.78,2.46,26.15,2.12,28.28,4309,84,264,2802,227,3030,81.18,13631,11065,2.8,0.08,0.27,310,9,30,BUENOS AIRES
76,BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",ALIANZA CAMBIEMOS,50.87,0.89,2.42,26.67,1.93,17.21,3867,68,184,2027,147,1308,83.26,9500,7910,3.49,0.06,0.35,276,5,28,BUENOS AIRES
78,BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.42,0.88,1.94,40.05,1.97,15.73,6641,149,327,6746,332,2650,81.78,21168,17311,2.13,0.08,0.49,368,14,84,BUENOS AIRES
81,BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",ALIANZA CAMBIEMOS,39.06,1.09,2.85,32.99,1.88,22.12,16435,459,1199,13881,793,9308,83.33,51907,43254,2.07,0.06,0.6,896,25,258,BUENOS AIRES
83,BUENOS AIRES_MONTE,"Monte, Buenos Aires",ALIANZA CAMBIEMOS,35.95,0.82,1.82,31.51,1.84,28.05,5105,117,259,4475,261,3984,81.27,17951,14589,2.37,0.01,0.27,346,2,40,BUENOS AIRES
84,BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.59,0.92,2.32,40.52,1.78,18.87,2041,53,133,2324,102,1082,76.14,7909,6022,3.72,0.56,0.48,224,34,29,BUENOS AIRES
87,BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.75,1.9,1.15,40.94,1.22,16.04,4266,209,127,4508,134,1766,85.03,13342,11345,2.38,0.09,0.48,270,10,55,BUENOS AIRES
88,BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA CAMBIEMOS,48.03,0.98,2.42,24.23,2.89,21.44,28505,582,1439,14382,1718,12727,76.89,79523,61144,2.16,0.03,0.73,1322,20,449,BUENOS AIRES
89,BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA CAMBIEMOS,45.84,0.88,2.03,29.87,3.05,18.33,14773,283,653,9624,983,5908,82.59,39955,32999,1.85,0.04,0.46,610,12,153,BUENOS AIRES
90,BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA CAMBIEMOS,35.61,1.25,3.45,29.3,2.19,28.2,25809,909,2503,21236,1590,20437,80.79,92959,75097,2.66,0.06,0.76,1999,46,568,BUENOS AIRES
91,BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.44,0.73,1.83,36.86,2.17,21.97,6866,137,345,6946,409,4140,77.96,24979,19474,2.76,0.04,0.44,538,8,85,BUENOS AIRES
92,BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.24,1.26,1.96,35.71,2.04,23.79,9300,333,516,9422,539,6278,81.46,33684,27440,3.01,0.04,0.78,827,10,215,BUENOS AIRES
93,BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA CAMBIEMOS,47.95,0.65,0.99,21.22,1.88,27.31,1984,27,41,878,78,1130,83.9,5149,4320,4.05,0.02,0.14,175,1,6,BUENOS AIRES
94,BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA CAMBIEMOS,45.35,1.61,2.41,27.68,2.27,20.69,30654,1089,1626,18714,1532,13985,80.84,86356,69814,2.35,0.07,0.75,1638,49,527,BUENOS AIRES
95,BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.34,0.51,0.83,37.59,1.42,28.31,797,13,21,956,36,720,87.08,3011,2622,2.9,0.04,0.08,76,1,2,BUENOS AIRES
97,BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA CAMBIEMOS,45.71,1.13,2.75,27.02,2.58,20.81,7625,188,459,4507,431,3471,68.78,25362,17443,3.15,0.45,0.77,549,78,135,BUENOS AIRES
99,BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA CAMBIEMOS,56.6,0.86,2.1,22.45,3.13,14.86,6340,96,235,2515,351,1665,80.57,14299,11521,2.27,0.02,0.49,261,2,56,BUENOS AIRES
100,BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA CAMBIEMOS,42.01,1.09,2.32,40.76,1.73,12.08,2786,72,154,2703,115,801,80.0,8723,6978,4.37,0.17,0.43,305,12,30,BUENOS AIRES
102,BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.12,0.84,2.11,37.02,3.06,22.85,7326,181,452,7948,657,4906,85.6,26036,22288,3.43,0.04,0.2,764,9,45,BUENOS AIRES
103,BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA CAMBIEMOS,42.45,0.67,2.27,39.24,2.61,12.76,4331,68,232,4004,266,1302,87.08,12274,10688,4.34,0.05,0.15,464,5,16,BUENOS AIRES
104,BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA CAMBIEMOS,48.39,1.03,1.3,15.52,2.01,31.75,5192,110,140,1665,216,3407,84.26,13233,11150,3.61,0.04,0.12,402,5,13,BUENOS AIRES
105,BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA CAMBIEMOS,46.7,1.63,1.81,21.73,2.49,25.64,7440,259,288,3462,397,4085,84.32,19766,16666,3.81,0.04,0.56,635,6,94,BUENOS AIRES
106,BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA CAMBIEMOS,40.01,0.67,1.77,33.14,1.36,23.05,3036,51,134,2515,103,1749,82.15,9682,7954,3.94,0.06,0.6,313,5,48,BUENOS AIRES
107,BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA CAMBIEMOS,42.6,0.78,2.17,29.97,5.1,19.38,5674,104,289,3992,679,2582,77.54,17678,13708,1.71,0.04,1.07,235,6,147,BUENOS AIRES
108,BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA CAMBIEMOS,49.85,0.95,2.44,27.0,0.8,18.95,10448,199,512,5658,168,3972,81.26,26889,21850,3.33,0.01,0.75,727,3,163,BUENOS AIRES
109,BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA CAMBIEMOS,46.78,0.69,0.82,34.04,1.28,16.38,2696,40,47,1962,74,944,82.56,7363,6079,4.92,0.12,0.16,299,7,10,BUENOS AIRES
110,BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA CAMBIEMOS,36.19,1.43,3.27,31.53,3.42,24.16,7520,297,679,6552,711,5019,80.27,26670,21409,2.68,0.0,0.26,574,1,56,BUENOS AIRES
111,BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA CAMBIEMOS,34.6,1.21,1.67,29.09,2.12,31.31,5075,178,245,4267,311,4592,82.9,18564,15389,4.51,0.04,0.14,694,6,21,BUENOS AIRES
112,BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA CAMBIEMOS,42.43,0.98,2.65,39.34,1.23,13.38,6913,160,431,6409,200,2180,85.76,19532,16750,2.32,0.04,0.38,388,6,63,BUENOS AIRES
113,BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA CAMBIEMOS,51.84,1.47,1.22,26.6,1.72,17.14,2886,82,68,1481,96,954,81.4,7082,5765,3.24,0.0,0.19,187,0,11,BUENOS AIRES
117,BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.95,1.31,3.25,35.94,2.77,25.78,29834,1260,3132,34645,2671,24849,82.91,119736,99278,2.32,0.04,0.55,2300,44,543,BUENOS AIRES
118,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA CAMBIEMOS,43.63,2.21,2.86,27.95,2.7,20.65,15857,804,1040,10158,980,7507,81.77,46254,37822,3.27,0.04,0.58,1238,17,221,BUENOS AIRES
120,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.9,1.63,39.43,1.46,14.31,3209,68,124,2993,111,1086,86.12,9053,7796,2.36,0.03,0.24,184,2,19,BUENOS AIRES
121,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA CAMBIEMOS,41.41,1.06,3.23,31.18,3.65,19.47,32499,835,2532,24469,2867,15281,80.4,100885,81114,2.42,0.05,0.77,1964,41,626,BUENOS AIRES
122,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.72,0.78,1.02,38.98,1.92,18.58,2538,51,67,2555,126,1218,83.72,8108,6788,3.21,0.04,0.18,218,3,12,BUENOS AIRES
124,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.92,0.2,0.41,37.77,0.27,32.43,428,3,6,559,4,480,87.95,1734,1525,2.16,0.33,0.46,33,5,7,BUENOS AIRES
125,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA CAMBIEMOS,47.61,1.09,3.04,29.61,2.05,16.6,4278,98,273,2661,184,1492,80.95,11422,9246,2.01,0.05,0.75,186,5,69,BUENOS AIRES
126,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA CAMBIEMOS,42.1,1.52,1.69,27.95,3.18,23.56,11888,428,477,7893,898,6654,79.97,37007,29594,4.22,0.01,0.36,1248,2,106,BUENOS AIRES
127,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA CAMBIEMOS,36.01,1.14,3.08,32.44,2.98,24.35,13451,425,1152,12119,1115,9096,78.1,50103,39131,3.95,0.04,0.54,1544,16,213,BUENOS AIRES
129,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.27,1.0,1.5,43.38,1.1,14.76,2022,53,79,2292,58,780,86.45,6405,5537,4.3,0.13,0.14,238,7,8,BUENOS AIRES
130,BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA CAMBIEMOS,40.6,0.81,1.84,29.27,1.56,25.92,9424,188,428,6795,362,6017,82.58,29447,24317,4.09,0.05,0.39,994,13,96,BUENOS AIRES
132,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.63,0.96,3.19,37.24,2.76,20.21,7055,191,632,7372,546,4002,72.36,28350,20514,2.76,0.3,0.43,566,61,89,BUENOS AIRES
133,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA CAMBIEMOS,40.85,1.13,1.49,26.6,1.88,28.05,7292,202,266,4748,336,5008,75.03,25256,18950,4.13,0.89,0.77,783,169,146,BUENOS AIRES
206,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA CAMBIEMOS,46.38,3.65,2.87,23.96,1.97,21.17,16855,1328,1043,8707,717,7695,80.16,46342,37149,1.22,0.02,0.92,455,7,342,CORDOBA
207,CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA CAMBIEMOS,60.05,1.64,4.54,16.74,1.9,15.12,492124,13452,37219,137192,15551,123923,78.94,1062470,838709,1.29,0.05,0.95,10817,427,8004,CORDOBA
208,CORDOBA_COLON,"Colon, Cordoba",ALIANZA CAMBIEMOS,58.65,1.79,3.4,16.39,1.61,18.16,93406,2854,5408,26099,2570,28912,79.74,205249,163656,1.66,0.03,1.0,2716,54,1637,CORDOBA
209,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,33.15,1.63,2.02,39.03,1.34,22.83,10660,525,648,12548,431,7341,73.96,44326,32782,1.31,0.03,0.58,428,11,190,CORDOBA
210,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA CAMBIEMOS,45.14,5.31,1.11,21.69,1.54,25.21,9916,1166,244,4764,338,5537,78.78,28211,22226,0.9,0.0,0.27,200,1,60,CORDOBA
211,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA CAMBIEMOS,44.67,2.11,2.71,29.1,2.21,19.2,39005,1845,2366,25414,1926,16766,80.18,110649,88720,0.89,0.03,0.65,790,29,579,CORDOBA
