,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
186,186,CHUBUT_RAWSON,"Rawson, Chubut",LA LIBERTAD AVANZA,4.04,0.09,0.32,2.82,26.44,41.55,0.71,0.32,0.42,0.9,0.5,0.76,0.01,0.01,21.12,3079.0,69.0,240.0,2146.0,20138.0,31653.0,538.0,245.0,317.0,682.0,380.0,577.0,11.0,8.0,16091.0,68.13,120357,82004,4.26,0.1,2.75,3493,83,CHUBUT
187,187,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",LA LIBERTAD AVANZA,2.32,0.0,0.65,1.99,25.88,37.64,0.98,0.22,0.25,0.58,0.54,0.0,0.0,0.0,28.95,64.0,0.0,18.0,55.0,715.0,1040.0,27.0,6.0,7.0,16.0,15.0,0.0,0.0,0.0,800.0,57.38,5261,3019,5.4,0.13,2.95,163,4,CHUBUT
188,188,CHUBUT_SARMIENTO,"Sarmiento, Chubut",LA LIBERTAD AVANZA,1.37,0.03,0.13,2.35,23.69,48.56,0.3,0.25,0.21,0.27,0.33,1.25,0.0,0.0,21.27,97.0,2.0,9.0,166.0,1673.0,3429.0,21.0,18.0,15.0,19.0,23.0,88.0,0.0,0.0,1502.0,67.67,10999,7443,2.96,0.19,1.98,220,14,CHUBUT
189,189,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",LA LIBERTAD AVANZA,2.09,0.0,0.52,1.61,29.06,36.61,0.52,0.49,0.26,0.64,0.41,0.0,0.0,0.0,27.79,56.0,0.0,14.0,43.0,778.0,980.0,14.0,13.0,7.0,17.0,11.0,0.0,0.0,0.0,744.0,55.71,5103,2843,4.29,0.04,1.51,122,1,CHUBUT
190,190,CHUBUT_TELSEN,"Telsen, Chubut",UNION POR LA PATRIA,3.1,0.16,0.16,1.14,27.41,31.16,0.33,0.82,0.33,0.65,0.49,0.0,0.16,0.0,34.09,19.0,1.0,1.0,7.0,168.0,191.0,2.0,5.0,2.0,4.0,3.0,0.0,1.0,0.0,209.0,47.15,1423,671,7.45,0.0,1.19,50,0,CHUBUT
374,374,NEUQUEN_ALUMINE,"Alumine, Neuquen",LA LIBERTAD AVANZA,3.22,0.0,0.82,2.68,19.61,37.94,1.33,0.52,0.56,4.75,0.79,2.83,0.0,0.0,24.95,172.0,0.0,44.0,143.0,1048.0,2027.0,71.0,28.0,30.0,254.0,42.0,151.0,0.0,0.0,1333.0,72.9,8560,6240,12.56,0.24,1.57,784,15,NEUQUEN
375,375,NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,2.12,0.0,0.61,1.04,11.24,57.56,0.69,0.41,0.39,2.24,0.56,0.83,0.0,0.0,22.31,203.0,0.0,58.0,100.0,1077.0,5518.0,66.0,39.0,37.0,215.0,54.0,80.0,0.0,0.0,2139.0,64.62,15782,10199,3.77,0.04,2.2,385,4,NEUQUEN
376,376,NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",LA LIBERTAD AVANZA,3.67,0.0,1.22,2.32,15.77,33.86,1.34,0.61,0.73,7.7,1.83,0.12,0.0,0.0,30.81,30.0,0.0,10.0,19.0,129.0,277.0,11.0,5.0,6.0,63.0,15.0,1.0,0.0,0.0,252.0,63.7,1617,1030,18.25,0.1,2.23,188,1,NEUQUEN
377,377,NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",LA LIBERTAD AVANZA,4.34,0.0,0.84,3.56,24.33,38.02,0.95,0.48,0.39,2.08,0.73,1.33,0.0,0.0,22.94,388.0,0.0,75.0,318.0,2173.0,3396.0,85.0,43.0,35.0,186.0,65.0,119.0,0.0,0.0,2049.0,70.86,13964,9895,7.41,0.05,2.27,733,5,NEUQUEN
378,378,NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",LA LIBERTAD AVANZA,2.54,0.0,0.89,3.26,19.91,39.01,1.1,0.64,0.42,2.41,0.55,0.04,0.0,0.0,29.22,60.0,0.0,21.0,77.0,470.0,921.0,26.0,15.0,10.0,57.0,13.0,1.0,0.0,0.0,690.0,69.41,4028,2796,13.63,0.04,1.9,381,1,NEUQUEN
379,379,NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,5.6,0.0,0.38,1.65,24.71,40.4,0.7,0.27,0.39,4.0,0.46,1.14,0.0,0.0,20.28,14370.0,0.0,979.0,4247.0,63436.0,103703.0,1807.0,701.0,1008.0,10269.0,1174.0,2936.0,0.0,0.0,52049.0,75.75,361173,273571,3.74,0.11,2.33,10228,303,NEUQUEN
380,380,NEUQUEN_HUILICHES,"Huiliches, Neuquen",LA LIBERTAD AVANZA,5.12,0.0,0.79,3.19,24.34,36.56,1.17,0.49,0.64,3.24,0.61,0.0,0.0,0.0,23.86,523.0,0.0,81.0,326.0,2485.0,3733.0,119.0,50.0,65.0,331.0,62.0,0.0,0.0,0.0,2436.0,73.29,15392,11281,6.63,0.15,2.7,748,17,NEUQUEN
