,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
422,SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),17.35,0.79,2.16,32.71,0.93,46.05,4114,188,512,7757,220,10920,79.59,30417,24210,1.23,0.14,0.69,297,35,167,SALTA
423,SALTA_SAN CARLOS,"San Carlos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.15,1.0,1.7,59.36,0.95,21.84,607,40,68,2378,38,875,71.39,5670,4048,0.64,0.12,0.27,26,5,11,SALTA
424,SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.15,0.76,2.11,61.77,0.8,21.41,11015,639,1772,51757,674,17937,69.69,121745,84840,0.69,0.06,0.48,583,52,411,SALTA
425,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.51,1.3,1.3,58.79,0.84,26.25,150,17,17,766,11,342,64.49,2053,1324,1.06,0.0,0.53,14,0,7,SALTA
480,SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,38.95,0.34,0.36,54.49,0.47,5.41,2082,18,19,2913,25,289,81.5,6599,5378,0.46,0.0,0.13,25,0,7,SANTIAGO DEL ESTERO
481,SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,8.13,0.32,0.35,81.6,0.36,9.24,742,29,32,7447,33,843,80.86,11356,9182,0.57,0.0,0.04,52,0,4,SANTIAGO DEL ESTERO
482,SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,6.77,0.44,0.42,85.26,0.17,6.93,504,33,31,6345,13,516,79.37,9465,7512,0.53,0.0,0.4,40,0,30,SANTIAGO DEL ESTERO
483,SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,10.68,0.61,0.81,79.13,0.6,8.17,1408,80,107,10429,79,1077,79.24,16789,13304,0.77,0.0,0.17,102,0,22,SANTIAGO DEL ESTERO
484,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,12.64,0.42,1.79,54.69,0.91,29.55,11585,386,1642,50119,831,27078,82.42,113661,93681,1.63,0.06,0.5,1523,52,465,SANTIAGO DEL ESTERO
485,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,37.77,0.51,0.64,47.3,0.75,13.03,2302,31,39,2883,46,794,83.43,7417,6188,1.13,0.1,0.27,70,6,17,SANTIAGO DEL ESTERO
